category_id,category_name,n_test,rmse_mean,mae_mean,rmse_median,mae_median
47,Hair Care Products,5,1840.0,1568.0,2240.09,1380.0
52,Personal Care Products,5,1162.93,844.0,1200.0,880.0
71,Headphones & Earbuds,5,292.75,178.0,320.16,190.0
110,Men's Clothing,5,370.81,370.0,38.73,30.0
116,Women's Clothing,5,91.65,76.0,102.47,70.0
126,Oral Care Products,5,738.92,460.0,779.74,480.0
130,Household Supplies,5,3904.92,2396.0,4127.23,2300.0
164,Bedding,5,399.12,242.0,417.13,260.0
167,Household Cleaning Supplies,5,1231.42,812.0,1304.61,780.0
170,Kitchen & Dining,5,1408.69,1076.0,1612.45,1000.0
0,OVERALL,50,1562.82,802.2,1693.83,737.0
