category_id,category_name,n_test,n_success,n_failed,actual_mean,predicted_mean,rmse,mae,r2,q2
47,Hair Care Products,5,5,0,1600.0,1230.0,1732.1951391226105,1250.0,0.09840745192307687,0.09840745192307687
52,Personal Care Products,5,5,0,1460.0,720.0,1160.172400981854,900.0,-0.5607606679035251,-0.5607606679035251
71,Headphones & Earbuds,5,5,0,270.0,164.0,291.5132930073687,206.0,-0.1546195652173914,-0.1546195652173914
110,Men's Clothing,5,5,0,70.0,200.0,132.28756555322954,130.0,-28.166666666666668,-28.166666666666668
116,Women's Clothing,5,5,0,150.0,150.0,83.66600265340756,80.0,0.125,0.125
126,Oral Care Products,5,5,0,660.0,240.0,816.0882305241266,460.0,-0.39214046822742477,-0.39214046822742477
130,Household Supplies,5,5,0,3100.0,1520.0,3961.060464067672,2140.0,-0.24287072243346008,-0.24287072243346008
164,Bedding,5,5,0,360.0,110.0,381.444622455213,250.0,-0.36748120300751874,-0.36748120300751874
167,Household Cleaning Supplies,5,5,0,860.0,130.0,1330.6013678032953,770.0,-0.39805748578648137,-0.39805748578648137
170,Kitchen & Dining,5,5,0,2000.0,1800.0,1264.9110640673518,1000.0,0.0,0.0
