asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
B0CFF19P9D,"Electric Toothbrush for Adults, Sonic Toothbrush with 3 Intensity Levels & 5 Modes, One Charge for 60 Days, Rechargeable Electric Toothbrush with 6 Toothbrush Heads & 40,000 VPM Deep Clean(Black)",https://m.media-amazon.com/images/I/719+Ixuh7qL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CFF19P9D,5.0,0,24.99,26.99,126,False,50
B075FJBZ8Q,"Plackers 303290518 Twin Line Whitening Floss Picks, Blue, 75 Count (Pack of 4)",https://m.media-amazon.com/images/I/81Rf+nStvmL._AC_UL320_.jpg,https://www.amazon.com/dp/B075FJBZ8Q,4.7,0,17.8,0.0,126,False,100
B00VQU2PCY,"REDMOND Earthpaste - Natural Non-Fluoride Toothpaste, 4 Ounce Tube (3 Pack, Peppermint)",https://m.media-amazon.com/images/I/71rDzaand1L._AC_UL320_.jpg,https://www.amazon.com/dp/B00VQU2PCY,4.1,0,19.64,20.79,126,False,300
B074TJ5CGC,Dental Interproximal Reduction (IPR) Gauge Measure Tooth Gap Stainless Steel Reciprocating IPR System Orthodontic,https://m.media-amazon.com/images/I/61fptgM5WcL._AC_UL320_.jpg,https://www.amazon.com/dp/B074TJ5CGC,4.4,0,8.99,0.0,126,False,50
B088Q5RPZ9,"Teeth Whitening Kit with LED Light, 35% Carbamide Peroxide, Teeth Whitening Gel, Helps to Remove Stains from Coffee, Smoking, Wines, Soda, Food, Home Dental Products for Sensitive Teeth",https://m.media-amazon.com/images/I/71RI47y9B9L._AC_UL320_.jpg,https://www.amazon.com/dp/B088Q5RPZ9,4.4,0,23.99,0.0,126,False,200
B0063GMAAI,"The Doctor's BrushPicks Interdental Toothpicks, 275 pieces per Pack (1-Pack)",https://m.media-amazon.com/images/I/71vEtd3-BUL._AC_UL320_.jpg,https://www.amazon.com/dp/B0063GMAAI,4.7,0,6.53,0.0,126,False,400
B09LD8PTNJ,"PHILIPS Sonicare 2100 Power Toothbrush, Rechargeable Electric Toothbrush, White Mint, HX3661/04",https://m.media-amazon.com/images/I/71wB+9aU2zL._AC_UL320_.jpg,https://www.amazon.com/dp/B09LD8PTNJ,4.6,0,34.95,0.0,126,False,2000
B086BSWPX7,AquaSonic Proflex Replacement Brush Heads | for Whiter Teeth & Gum Care | Compatible with Many AquaSonic Toothbrush Handles (3 Pack Black),https://m.media-amazon.com/images/I/71NKPhCr5xL._AC_UL320_.jpg,https://www.amazon.com/dp/B086BSWPX7,4.6,0,12.95,0.0,126,False,900
B00KTPKPQA,dōTERRA On Guard® Natural Whitening Toothpaste 4.2oz (2 Pack),https://m.media-amazon.com/images/I/51gmRFEPttL._AC_UL320_.jpg,https://www.amazon.com/dp/B00KTPKPQA,4.7,0,32.33,0.0,126,False,700
B0C2T9ZQDR,Replacement Toothbrush Heads Fits Oral B Braun for Precision/Precision Clean PRO/Sensitive/Cross Clean Replacement Brush Heads Pack of 8 Black Standard Clean Heads Refill for 7000/Pro1000/3000/8000,https://m.media-amazon.com/images/I/71qjndTDJzL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C2T9ZQDR,4.5,0,9.99,0.0,126,False,600
